     0.002 D | Testing "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/qtlogging.ini" ...
     0.002 D | Loading logging rules from: "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/qtlogging.ini"
     0.002 D | Setting log rules:
     0.002 D |      "*.debug=true"
     0.003 D |      "launcher.auth.credentials.debug=false"
     0.003 D |      "launcher.task=false"
     0.003 D |      "launcher.task.net=true"
     0.003 D |      "launcher.task.net.download.debug=false"
     0.003 D |      "launcher.task.net.metacache=false"
     0.003 D |      "launcher.task.net.metacache.http=true"
     0.003 D |      "launcher.task.net.upload=true"
     0.003 D |      "qt.*.debug=false"
     0.003 D | <> Log initialized.
     0.003 D | <> No migration needed from "PolyMC"
     0.003 D | <> No migration needed from "MultiMC"
     0.003 D | Prism Launcher, � 2022-2025 Prism Launcher Contributors, � 2021-2022 PolyMC Contributors, � 2012-2021 MultiMC Contributors
     0.003 D | Version                    :  "9.4"
     0.003 D | Platform                   :  "official"
     0.003 D | Git commit                 :  ""
     0.003 D | Git refspec                :  "refs/heads/stable"
     0.003 D | Compiled for               :  "Windows 6.2.9200 AMD64"
     0.003 D | Compiled by                :  "Clang - 20.1.1"
     0.003 D | Build Artifact             :  "Windows-MinGW-w64-Qt"
     0.003 D | Updates Enabled           :  Yes
     0.003 D | Work dir before adjustment :  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4"
     0.003 D | Work dir after adjustment  :  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4"
     0.003 D | Adjusted by                :  "Portable data path"
     0.003 D | Binary path                :  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4"
     0.003 D | Application root path      :  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4"
     0.003 D | <> Paths set.
     0.015 D | Detected default console font: "Courier New" , substitutions: ""
     0.035 D | <> Settings loaded.
     0.035 D | Detecting proxy settings...
     0.035 D | Using no proxy is an option!
     0.035 D | <> Network done.
     0.046 D | Your language is "en_US"
     0.046 D | <> Translations loaded.
     0.046 D | Started watching  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/icons"
     0.047 D | Sorting icon list...
     0.047 D | <> Instance icons initialized.
     0.270 D | [Theme] Determining System Widget Theme...
     0.270 D | [Theme] System theme seems to be: "windows11"
     0.270 D | [Theme] <> Initializing Icon Themes
     0.270 D | [Theme] Loaded Built-In Icon Theme "pe_colored"
     0.270 D | [Theme] Loaded Built-In Icon Theme "pe_light"
     0.270 D | [Theme] Loaded Built-In Icon Theme "pe_dark"
     0.270 D | [Theme] Loaded Built-In Icon Theme "pe_blue"
     0.270 D | [Theme] Loaded Built-In Icon Theme "breeze_light"
     0.270 D | [Theme] Loaded Built-In Icon Theme "breeze_dark"
     0.270 D | [Theme] Loaded Built-In Icon Theme "OSX"
     0.270 D | [Theme] Loaded Built-In Icon Theme "iOS"
     0.270 D | [Theme] Loaded Built-In Icon Theme "flat"
     0.270 D | [Theme] Loaded Built-In Icon Theme "flat_white"
     0.270 D | [Theme] Loaded Built-In Icon Theme "multimc"
     0.270 D | [Theme] Icon Theme Folder Path:  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/iconthemes"
     0.270 D | [Theme] <> Icon themes initialized.
     0.270 D | [Theme] <> Initializing Widget Themes
     0.270 D | [Theme] Loading Built-in Theme: "system"
     0.270 D | [Theme] Loading Built-in Theme: "dark"
     0.270 D | [Theme] Loading Built-in Theme: "bright"
     0.270 D | [Theme] <> Initializing System Widget Themes
     0.270 D | [Theme] Loading System Theme: "windows11"
     0.270 D | [Theme] Loading System Theme: "windowsvista"
     0.271 D | [Theme] Loading System Theme: "Windows"
     0.271 D | [Theme] Loading System Theme: "Fusion"
     0.271 D | [Theme] Theme Folder Path:  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/themes"
     0.271 D | [Theme] <> Widget themes initialized.
     0.271 D | [Theme] CatPacks Folder Path: "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/catpacks"
     3.231 D | Instance path              :  "instances"
     3.232 D | Loading Instances...
     3.232 D | Discovering instances in "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/instances"
     3.233 D | Found instance ID "1.21.5"
     3.233 D | Will load group list now.
     3.239 D | Group list loaded.
     3.248 D | Loaded instance  "1.21.5"  from  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/instances/1.21.5"
     3.248 D | <> Instances loaded.
     3.248 D | Loading accounts...
     3.257 D | AccountList: Queued default account with internal ID  "85ba950bb4e34bc5bd63152db669a301"  to refresh first
     3.258 D | Writing account list to "accounts.json"
     3.258 D | Building JSON data structure.
     3.258 D | Building account array.
     3.258 D | Writing account list to file.
     3.261 D | Saved account list to "accounts.json"
     3.261 D | RefreshSchedule: Background account refresh succeeded
     3.261 D | RefreshSchedule: Processing account  "<Offline>"  with internal ID  "85ba950bb4e34bc5bd63152db669a301"
     3.261 D | <> Accounts loaded.
     3.270 D | <> Cache initialized.
     3.270 D | Downloading Translations Index...
     3.271 W | [launcher.task.net]: [HttpMetaCache] Removing cache entry because of old age!
     3.285 D | [Theme] <> Icon theme set.
     3.285 D | [Theme] applying theme "Dark"
     3.286 D | [Theme] <> Application theme set.
