     0.001 D | Testing "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/qtlogging.ini" ...
     0.002 D | Loading logging rules from: "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/qtlogging.ini"
     0.002 D | Setting log rules:
     0.002 D |      "*.debug=true"
     0.002 D |      "launcher.auth.credentials.debug=false"
     0.002 D |      "launcher.task=false"
     0.002 D |      "launcher.task.net=true"
     0.002 D |      "launcher.task.net.download.debug=false"
     0.002 D |      "launcher.task.net.metacache=false"
     0.002 D |      "launcher.task.net.metacache.http=true"
     0.002 D |      "launcher.task.net.upload=true"
     0.002 D |      "qt.*.debug=false"
     0.002 D | <> Log initialized.
     0.002 D | <> No migration needed from "PolyMC"
     0.002 D | <> No migration needed from "MultiMC"
     0.002 D | Prism Launcher, � 2022-2025 Prism Launcher Contributors, � 2021-2022 PolyMC Contributors, � 2012-2021 MultiMC Contributors
     0.002 D | Version                    :  "9.4"
     0.002 D | Platform                   :  "official"
     0.002 D | Git commit                 :  ""
     0.002 D | Git refspec                :  "refs/heads/stable"
     0.002 D | Compiled for               :  "Windows 6.2.9200 AMD64"
     0.002 D | Compiled by                :  "Clang - 20.1.1"
     0.002 D | Build Artifact             :  "Windows-MinGW-w64-Qt"
     0.002 D | Updates Enabled           :  Yes
     0.002 D | Work dir before adjustment :  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4"
     0.002 D | Work dir after adjustment  :  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4"
     0.002 D | Adjusted by                :  "Portable data path"
     0.002 D | Binary path                :  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4"
     0.002 D | Application root path      :  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4"
     0.002 D | <> Paths set.
     0.005 D | Detected default console font: "Courier New" , substitutions: ""
     0.023 D | <> Settings loaded.
     0.024 D | Detecting proxy settings...
     0.024 D | Using no proxy is an option!
     0.024 D | <> Network done.
     0.025 D | Your language is "en_US"
     0.025 D | <> Translations loaded.
     0.026 D | Started watching  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/icons"
     0.026 D | Sorting icon list...
     0.027 D | <> Instance icons initialized.
     0.027 D | [Theme] Determining System Widget Theme...
     0.027 D | [Theme] System theme seems to be: "windows11"
     0.027 D | [Theme] <> Initializing Icon Themes
     0.027 D | [Theme] Loaded Built-In Icon Theme "pe_colored"
     0.027 D | [Theme] Loaded Built-In Icon Theme "pe_light"
     0.027 D | [Theme] Loaded Built-In Icon Theme "pe_dark"
     0.028 D | [Theme] Loaded Built-In Icon Theme "pe_blue"
     0.028 D | [Theme] Loaded Built-In Icon Theme "breeze_light"
     0.028 D | [Theme] Loaded Built-In Icon Theme "breeze_dark"
     0.028 D | [Theme] Loaded Built-In Icon Theme "OSX"
     0.028 D | [Theme] Loaded Built-In Icon Theme "iOS"
     0.028 D | [Theme] Loaded Built-In Icon Theme "flat"
     0.028 D | [Theme] Loaded Built-In Icon Theme "flat_white"
     0.028 D | [Theme] Loaded Built-In Icon Theme "multimc"
     0.028 D | [Theme] Icon Theme Folder Path:  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/iconthemes"
     0.028 D | [Theme] <> Icon themes initialized.
     0.028 D | [Theme] <> Initializing Widget Themes
     0.028 D | [Theme] Loading Built-in Theme: "system"
     0.028 D | [Theme] Loading Built-in Theme: "dark"
     0.028 D | [Theme] Loading Built-in Theme: "bright"
     0.028 D | [Theme] <> Initializing System Widget Themes
     0.028 D | [Theme] Loading System Theme: "windows11"
     0.028 D | [Theme] Loading System Theme: "windowsvista"
     0.028 D | [Theme] Loading System Theme: "Windows"
     0.028 D | [Theme] Loading System Theme: "Fusion"
     0.028 D | [Theme] Theme Folder Path:  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/themes"
     0.029 D | [Theme] <> Widget themes initialized.
     0.029 D | [Theme] CatPacks Folder Path: "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/catpacks"
     0.035 D | Instance path              :  "instances"
     0.036 D | Loading Instances...
     0.036 D | Discovering instances in "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/instances"
     0.036 D | <> Instances loaded.
     0.036 D | Loading accounts...
     0.036 D | <> Accounts loaded.
     0.036 D | <> Cache initialized.
     0.036 D | Downloading Translations Index...
     0.044 D | [Theme] <> Icon theme set.
     0.044 D | [Theme] applying theme "Dark"
     0.045 D | [Theme] <> Application theme set.
     0.065 D | Reloading news.
     0.131 D | <> Main window shown.
     0.131 D | Initializing updater
     0.131 D | <> Updater started.
     0.182 D | Dir changed: "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/translations"
     0.307 D | Dir changed: "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/translations"
     0.316 D | Dir changed: "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/translations"
     0.317 D | Got translations index!
     0.362 D | Finished loading RSS feed.
     0.367 D | Loaded news entry "Prism Launcher Release 9.4, now available"
     0.367 D | Loaded news entry "Prism Launcher Release 9.3, now available"
     0.367 D | Loaded news entry "[April Fools 2025] Announcing Prism Premium"
     0.367 D | Loaded news entry "Moving on from Twitter"
