     0.297 D | Dir changed: "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/translations"
     0.298 D | Got translations index!
     0.350 D | Finished loading RSS feed.
     0.355 D | Loaded news entry "Prism Launcher Release 9.4, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 9.3, now available"
     0.355 D | Loaded news entry "[April Fools 2025] Announcing Prism Premium"
     0.355 D | Loaded news entry "Moving on from Twitter"
     0.355 D | Loaded news entry "Prism Launcher Release 9.2, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 9.1, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 9.0, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 8.4, now available"
     0.355 D | Loaded news entry "Microsoft authentication issues in some regions"
     0.355 D | Loaded news entry "Prism Launcher Release 8.3, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 8.2, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 8.1, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 8.0, now available"
     0.355 D | Loaded news entry "[MALWARE WARNING] RCE Vulnerability on some modded servers - Bleeding Pipe"
     0.355 D | Loaded news entry "Prism Launcher Release 7.2, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 7.1, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 7.0, now available"
     0.355 D | Loaded news entry "FTB Modpack Downloading Removal."
     0.355 D | Loaded news entry "[MALWARE WARNING] \"fractureiser\" malware in many popular Minecraft mods and modpacks"
     0.355 D | Loaded news entry "[SECURITY UPDATE] Prism Launcher Release 6.3, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 6.2, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 6.1, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 6.0, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 5.2, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 5.1, now available"
     0.355 D | Loaded news entry "Prism Launcher Release 5.0, now available"
     0.355 D | Loaded news entry "PolyMC Update 1.4.2, now available"
     0.355 D | Loaded news entry "PolyMC Update 1.4.1, now available"
     0.355 D | Loaded news entry "PolyMC Update 1.4.0, now available"
     0.355 D | Loaded news entry "PolyMC Update 1.3.2, now available"
     0.355 D | Loaded news entry "PolyMC Update 1.3.1, now available"
     0.355 D | Loaded news entry "PolyMC Update 1.3.0, now available"
     0.355 D | Loaded news entry "PolyMC Update 1.2.2, now available (CurseForge Hotfix)"
     0.355 D | Loaded news entry "PolyMC Update 1.2.1, now available"
     0.355 D | Loaded news entry "PolyMC Update 1.2.0, now available"
     0.355 D | Loaded news entry "PolyMC Update 1.1.1, now available"
     0.355 D | Loaded news entry "PolyMC Update 1.1.0, now available"
     0.355 D | Loaded news entry "Moving on"
     0.355 D | Loaded news entry "Modrinth support and Mod downloading"
     0.355 D | Loaded news entry "New maintainers and step down."
     0.355 D | News loading succeeded.
     5.063 D | "1.21.5" | Component list save performed now
    12.221 D | AccountList: Pushed account with internal ID  "e95c90a3672e4a4aa0e865f47c4e11f6"  to the front of the queue
    12.221 D | Writing account list to "accounts.json"
    12.221 D | Building JSON data structure.
    12.221 D | Building account array.
    12.221 D | Writing account list to file.
    12.233 D | Saved account list to "accounts.json"
    12.233 D | RefreshSchedule: Background account refresh succeeded
    12.233 D | RefreshSchedule: Processing account  "<Offline>"  with internal ID  "e95c90a3672e4a4aa0e865f47c4e11f6"
    12.773 D | [launcher.instance.profile.resolve]: Loading components
    12.773 D | "1.21.5" | Component list save is scheduled
    12.773 D | [launcher.instance.profile.resolve]: "1.21.5" | Remote loading is being run for "LWJGL 3"
    12.773 D | [launcher.instance.profile.resolve]: "1.21.5" | Remote loading is being run for "Minecraft"
    12.773 D | [launcher.instance.profile.resolve]: "1.21.5" | Remote loading is being run for "Intermediary Mappings"
    12.773 D | [launcher.instance.profile.resolve]: "1.21.5" | Remote loading is being run for "Fabric Loader"
    12.932 D | [launcher.instance.profile.resolve]: Remote task 3 succeeded
    12.932 D | [launcher.instance.profile.resolve]: Remote task 0 succeeded
    12.932 D | [launcher.instance.profile.resolve]: Remote task 1 succeeded
    12.932 D | [launcher.instance.profile.resolve]: Remote task 2 succeeded
    12.932 D | [launcher.instance.profile.resolve]: Resolving dependencies
    12.932 D | [launcher.instance.profile.resolve]: "Req: net.fabricmc.intermediary" Is met.
    12.932 D | [launcher.instance.profile.resolve]: "Req: net.minecraft == 1.21.5" Is met.
    12.932 D | [launcher.instance.profile.resolve]: "Req: org.lwjgl3" Is met.
    12.932 D | [launcher.instance.profile]: "1.21.5" | Component list update/resolve task succeeded
    12.935 D | Writing account list to "accounts.json"
    12.935 D | Building JSON data structure.
    12.935 D | Building account array.
    12.935 D | Writing account list to file.
    12.938 D | Saved account list to "accounts.json"
