     0.001 D | Testing "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/qtlogging.ini" ...
     0.001 D | Loading logging rules from: "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/qtlogging.ini"
     0.002 D | Setting log rules:
     0.002 D |      "*.debug=true"
     0.002 D |      "launcher.auth.credentials.debug=false"
     0.002 D |      "launcher.task=false"
     0.002 D |      "launcher.task.net=true"
     0.002 D |      "launcher.task.net.download.debug=false"
     0.002 D |      "launcher.task.net.metacache=false"
     0.002 D |      "launcher.task.net.metacache.http=true"
     0.002 D |      "launcher.task.net.upload=true"
     0.002 D |      "qt.*.debug=false"
     0.002 D | <> Log initialized.
     0.002 D | <> No migration needed from "PolyMC"
     0.002 D | <> No migration needed from "MultiMC"
     0.002 D | Prism Launcher, � 2022-2025 Prism Launcher Contributors, � 2021-2022 PolyMC Contributors, � 2012-2021 MultiMC Contributors
     0.002 D | Version                    :  "9.4"
     0.002 D | Platform                   :  "official"
     0.002 D | Git commit                 :  ""
     0.002 D | Git refspec                :  "refs/heads/stable"
     0.002 D | Compiled for               :  "Windows 6.2.9200 AMD64"
     0.002 D | Compiled by                :  "Clang - 20.1.1"
     0.002 D | Build Artifact             :  "Windows-MinGW-w64-Qt"
     0.002 D | Updates Enabled           :  Yes
     0.002 D | Work dir before adjustment :  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4"
     0.002 D | Work dir after adjustment  :  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4"
     0.002 D | Adjusted by                :  "Portable data path"
     0.002 D | Binary path                :  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4"
     0.002 D | Application root path      :  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4"
     0.002 D | <> Paths set.
     0.005 D | Detected default console font: "Courier New" , substitutions: ""
     0.017 D | <> Settings loaded.
     0.018 D | Detecting proxy settings...
     0.018 D | Using no proxy is an option!
     0.018 D | <> Network done.
     0.019 D | Your language is "en_US"
     0.019 D | <> Translations loaded.
     0.020 D | Started watching  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/icons"
     0.021 D | Sorting icon list...
     0.021 D | <> Instance icons initialized.
     0.022 D | [Theme] Determining System Widget Theme...
     0.022 D | [Theme] System theme seems to be: "windows11"
     0.022 D | [Theme] <> Initializing Icon Themes
     0.022 D | [Theme] Loaded Built-In Icon Theme "pe_colored"
     0.022 D | [Theme] Loaded Built-In Icon Theme "pe_light"
     0.022 D | [Theme] Loaded Built-In Icon Theme "pe_dark"
     0.022 D | [Theme] Loaded Built-In Icon Theme "pe_blue"
     0.022 D | [Theme] Loaded Built-In Icon Theme "breeze_light"
     0.022 D | [Theme] Loaded Built-In Icon Theme "breeze_dark"
     0.022 D | [Theme] Loaded Built-In Icon Theme "OSX"
     0.022 D | [Theme] Loaded Built-In Icon Theme "iOS"
     0.022 D | [Theme] Loaded Built-In Icon Theme "flat"
     0.022 D | [Theme] Loaded Built-In Icon Theme "flat_white"
     0.022 D | [Theme] Loaded Built-In Icon Theme "multimc"
     0.022 D | [Theme] Icon Theme Folder Path:  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/iconthemes"
     0.022 D | [Theme] <> Icon themes initialized.
     0.022 D | [Theme] <> Initializing Widget Themes
     0.022 D | [Theme] Loading Built-in Theme: "system"
     0.022 D | [Theme] Loading Built-in Theme: "dark"
     0.022 D | [Theme] Loading Built-in Theme: "bright"
     0.022 D | [Theme] <> Initializing System Widget Themes
     0.022 D | [Theme] Loading System Theme: "windows11"
     0.022 D | [Theme] Loading System Theme: "windowsvista"
     0.022 D | [Theme] Loading System Theme: "Windows"
     0.023 D | [Theme] Loading System Theme: "Fusion"
     0.023 D | [Theme] Theme Folder Path:  "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/themes"
     0.023 D | [Theme] <> Widget themes initialized.
     0.023 D | [Theme] CatPacks Folder Path: "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/catpacks"
     0.030 D | Instance path              :  "instances"
     0.030 D | Loading Instances...
     0.030 D | Discovering instances in "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/instances"
     0.031 D | <> Instances loaded.
     0.031 D | Loading accounts...
     0.031 C | "Failed to read the account list file (accounts.json)."
     0.031 D | <> Accounts loaded.
     0.031 D | <> Cache initialized.
     0.031 D | Downloading Translations Index...
     0.040 D | [Theme] <> Icon theme set.
     0.040 D | [Theme] applying theme "Dark"
     0.040 D | [Theme] <> Application theme set.
     0.093 D | Dir changed: "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/translations"
     0.216 D | Dir changed: "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/translations"
     0.225 D | Dir changed: "C:/Users/xplco/Downloads/PrismLauncher-Windows-MinGW-w64-Portable-9.4/translations"
     0.226 D | Got translations index!
     1.737 D | Wizard result = 1
     1.756 D | Reloading news.
     1.800 D | <> Main window shown.
     1.800 D | Initializing updater
     1.801 D | <> Updater started.
     1.991 D | Finished loading RSS feed.
     1.996 D | Loaded news entry "Prism Launcher Release 9.4, now available"
     1.996 D | Loaded news entry "Prism Launcher Release 9.3, now available"
     1.996 D | Loaded news entry "[April Fools 2025] Announcing Prism Premium"
     1.996 D | Loaded news entry "Moving on from Twitter"
     1.996 D | Loaded news entry "Prism Launcher Release 9.2, now available"
     1.996 D | Loaded news entry "Prism Launcher Release 9.1, now available"
     1.996 D | Loaded news entry "Prism Launcher Release 9.0, now available"
     1.996 D | Loaded news entry "Prism Launcher Release 8.4, now available"
     1.996 D | Loaded news entry "Microsoft authentication issues in some regions"
     1.996 D | Loaded news entry "Prism Launcher Release 8.3, now available"
     1.996 D | Loaded news entry "Prism Launcher Release 8.2, now available"
     1.996 D | Loaded news entry "Prism Launcher Release 8.1, now available"
     1.996 D | Loaded news entry "Prism Launcher Release 8.0, now available"
     1.996 D | Loaded news entry "[MALWARE WARNING] RCE Vulnerability on some modded servers - Bleeding Pipe"
     1.996 D | Loaded news entry "Prism Launcher Release 7.2, now available"
     1.996 D | Loaded news entry "Prism Launcher Release 7.1, now available"
     1.996 D | Loaded news entry "Prism Launcher Release 7.0, now available"
     1.996 D | Loaded news entry "FTB Modpack Downloading Removal."
     1.996 D | Loaded news entry "[MALWARE WARNING] \"fractureiser\" malware in many popular Minecraft mods and modpacks"
     1.996 D | Loaded news entry "[SECURITY UPDATE] Prism Launcher Release 6.3, now available"
     1.996 D | Loaded news entry "Prism Launcher Release 6.2, now available"
     1.996 D | Loaded news entry "Prism Launcher Release 6.1, now available"
     1.996 D | Loaded news entry "Prism Launcher Release 6.0, now available"
     1.997 D | Loaded news entry "Prism Launcher Release 5.2, now available"
     1.997 D | Loaded news entry "Prism Launcher Release 5.1, now available"
     1.997 D | Loaded news entry "Prism Launcher Release 5.0, now available"
     1.997 D | Loaded news entry "PolyMC Update 1.4.2, now available"
     1.997 D | Loaded news entry "PolyMC Update 1.4.1, now available"
     1.997 D | Loaded news entry "PolyMC Update 1.4.0, now available"
     1.997 D | Loaded news entry "PolyMC Update 1.3.2, now available"
     1.997 D | Loaded news entry "PolyMC Update 1.3.1, now available"
